14 182
0 1 2577
0 2 1821
0 3 4069
0 4 1437
0 5 1893
0 6 4236
0 7 3697
0 8 3427
0 9 2354
0 10 4642
0 11 2598
0 12 3982
0 13 4861
1 0 2577
1 2 2391
1 3 3586
1 4 1078
1 5 4479
1 6 4289
1 7 996
1 8 115
1 9 4433
1 10 4656
1 11 1116
1 12 3115
1 13 913
2 0 1821
2 1 2391
2 3 966
2 4 2295
2 5 2561
2 6 1482
2 7 11
2 8 2538
2 9 2420
2 10 1314
2 11 2789
2 12 3644
2 13 2321
3 0 4069
3 1 3586
3 2 966
3 4 643
3 5 4705
3 6 410
3 7 1478
3 8 4242
3 9 1803
3 10 1566
3 11 172
3 12 3656
3 13 1972
4 0 1437
4 1 1078
4 2 2295
4 3 643
4 5 728
4 6 3846
4 7 3364
4 8 1275
4 9 4624
4 10 3487
4 11 1230
4 12 3414
4 13 3777
5 0 1893
5 1 4479
5 2 2561
5 3 4705
5 4 728
5 6 3458
5 7 2094
5 8 178
5 9 1105
5 10 2141
5 11 4145
5 12 4996
5 13 2955
6 0 4236
6 1 4289
6 2 1482
6 3 410
6 4 3846
6 5 3458
6 7 481
6 8 122
6 9 2764
6 10 3609
6 11 703
6 12 894
6 13 1389
7 0 3697
7 1 996
7 2 11
7 3 1478
7 4 3364
7 5 2094
7 6 481
7 8 4230
7 9 3952
7 10 997
7 11 686
7 12 3760
7 13 1227
8 0 3427
8 1 115
8 2 2538
8 3 4242
8 4 1275
8 5 178
8 6 122
8 7 4230
8 9 411
8 10 3113
8 11 2820
8 12 4171
8 13 362
9 0 2354
9 1 4433
9 2 2420
9 3 1803
9 4 4624
9 5 1105
9 6 2764
9 7 3952
9 8 411
9 10 2687
9 11 872
9 12 483
9 13 4378
10 0 4642
10 1 4656
10 2 1314
10 3 1566
10 4 3487
10 5 2141
10 6 3609
10 7 997
10 8 3113
10 9 2687
10 11 4273
10 12 4163
10 13 4701
11 0 2598
11 1 1116
11 2 2789
11 3 172
11 4 1230
11 5 4145
11 6 703
11 7 686
11 8 2820
11 9 872
11 10 4273
11 12 2623
11 13 3247
12 0 3982
12 1 3115
12 2 3644
12 3 3656
12 4 3414
12 5 4996
12 6 894
12 7 3760
12 8 4171
12 9 483
12 10 4163
12 11 2623
12 13 919
13 0 4861
13 1 913
13 2 2321
13 3 1972
13 4 3777
13 5 2955
13 6 1389
13 7 1227
13 8 362
13 9 4378
13 10 4701
13 11 3247
13 12 919
9
