13 156
0 1 777
0 2 885
0 3 238
0 4 259
0 5 730
0 6 966
0 7 608
0 8 569
0 9 622
0 10 763
0 11 714
0 12 52
1 0 777
1 2 225
1 3 592
1 4 413
1 5 923
1 6 209
1 7 851
1 8 399
1 9 602
1 10 274
1 11 845
1 12 796
2 0 885
2 1 225
2 3 518
2 4 498
2 5 324
2 6 190
2 7 468
2 8 447
2 9 74
2 10 330
2 11 848
2 12 813
3 0 238
3 1 592
3 2 518
3 4 887
3 5 453
3 6 196
3 7 467
3 8 715
3 9 875
3 10 783
3 11 20
3 12 890
4 0 259
4 1 413
4 2 498
4 3 887
4 5 132
4 6 379
4 7 636
4 8 390
4 9 269
4 10 984
4 11 926
4 12 95
5 0 730
5 1 923
5 2 324
5 3 453
5 4 132
5 6 145
5 7 181
5 8 442
5 9 782
5 10 88
5 11 988
5 12 442
6 0 966
6 1 209
6 2 190
6 3 196
6 4 379
6 5 145
6 7 731
6 8 105
6 9 812
6 10 555
6 11 578
6 12 426
7 0 608
7 1 851
7 2 468
7 3 467
7 4 636
7 5 181
7 6 731
7 8 418
7 9 106
7 10 396
7 11 183
7 12 638
8 0 569
8 1 399
8 2 447
8 3 715
8 4 390
8 5 442
8 6 105
8 7 418
8 9 330
8 10 887
8 11 867
8 12 679
9 0 622
9 1 602
9 2 74
9 3 875
9 4 269
9 5 782
9 6 812
9 7 106
9 8 330
9 10 572
9 11 566
9 12 789
10 0 763
10 1 274
10 2 330
10 3 783
10 4 984
10 5 88
10 6 555
10 7 396
10 8 887
10 9 572
10 11 228
10 12 365
11 0 714
11 1 845
11 2 848
11 3 20
11 4 926
11 5 988
11 6 578
11 7 183
11 8 867
11 9 566
11 10 228
11 12 917
12 0 52
12 1 796
12 2 813
12 3 890
12 4 95
12 5 442
12 6 426
12 7 638
12 8 679
12 9 789
12 10 365
12 11 917
9
