12 132
0 1 5
0 2 79
0 3 50
0 4 22
0 5 82
0 6 1
0 7 15
0 8 26
0 9 30
0 10 8
0 11 40
1 0 5
1 2 93
1 3 49
1 4 50
1 5 46
1 6 56
1 7 79
1 8 44
1 9 75
1 10 98
1 11 89
2 0 79
2 1 93
2 3 89
2 4 74
2 5 64
2 6 35
2 7 43
2 8 26
2 9 43
2 10 87
2 11 37
3 0 50
3 1 49
3 2 89
3 4 41
3 5 18
3 6 68
3 7 9
3 8 36
3 9 15
3 10 66
3 11 36
4 0 22
4 1 50
4 2 74
4 3 41
4 5 39
4 6 98
4 7 74
4 8 12
4 9 31
4 10 3
4 11 81
5 0 82
5 1 46
5 2 64
5 3 18
5 4 39
5 6 12
5 7 34
5 8 33
5 9 74
5 10 49
5 11 70
6 0 1
6 1 56
6 2 35
6 3 68
6 4 98
6 5 12
6 7 42
6 8 57
6 9 95
6 10 50
6 11 90
7 0 15
7 1 79
7 2 43
7 3 9
7 4 74
7 5 34
7 6 42
7 8 41
7 9 45
7 10 85
7 11 42
8 0 26
8 1 44
8 2 26
8 3 36
8 4 12
8 5 33
8 6 57
8 7 41
8 9 73
8 10 19
8 11 68
9 0 30
9 1 75
9 2 43
9 3 15
9 4 31
9 5 74
9 6 95
9 7 45
9 8 73
9 10 12
9 11 59
10 0 8
10 1 98
10 2 87
10 3 66
10 4 3
10 5 49
10 6 50
10 7 85
10 8 19
10 9 12
10 11 63
11 0 40
11 1 89
11 2 37
11 3 36
11 4 81
11 5 70
11 6 90
11 7 42
11 8 68
11 9 59
11 10 63
8
